user_id,age,city,signup_date
1,16,Bangalore,2026-03-10
2,14,Delhi,2025-10-22
3,22,Pune,2025-12-21
4,23,Delhi,2025-04-26
5,20,Hyderabad,2025-06-20
6,16,Mumbai,2026-02-01
7,22,Bangalore,2025-07-23
8,20,Bangalore,2025-08-24
9,20,Pune,2025-06-14
10,14,Mumbai,2025-05-01
11,20,Hyderabad,2026-01-30
12,21,Delhi,2025-09-03
13,22,Delhi,2025-07-19
14,23,Pune,2025-06-16
15,15,Bangalore,2026-03-30
16,22,Pune,2025-09-19
17,15,Mumbai,2025-07-06
18,15,Hyderabad,2025-05-19
19,15,Mumbai,2025-05-03
20,21,Bangalore,2026-04-10
21,21,Pune,2025-09-24
22,23,Mumbai,2025-06-04
23,23,Pune,2025-07-27
24,18,Pune,2026-04-19
25,18,Hyderabad,2025-12-08
26,20,Hyderabad,2026-01-02
27,22,Bangalore,2026-03-13
28,17,Delhi,2025-09-03
29,24,Hyderabad,2026-04-19
30,18,Hyderabad,2025-12-05
31,24,Pune,2025-12-10
32,23,Mumbai,2026-03-13
33,24,Mumbai,2025-07-20
34,23,Hyderabad,2025-06-18
35,13,Mumbai,2025-11-02
36,16,Pune,2025-10-17
37,24,Mumbai,2026-04-19
38,17,Pune,2026-02-07
39,21,Delhi,2026-04-16
40,17,Pune,2025-09-26
41,17,Hyderabad,2025-09-13
42,16,Mumbai,2025-08-11
43,16,Hyderabad,2025-10-03
44,17,Hyderabad,2025-08-03
45,16,Mumbai,2025-11-03
46,16,Bangalore,2025-08-17
47,13,Delhi,2026-01-03
48,16,Mumbai,2025-09-21
49,17,Pune,2025-09-09
50,17,Delhi,2025-08-21
51,17,Pune,2025-11-21
52,15,Delhi,2026-03-07
53,16,Pune,2026-04-23
54,22,Bangalore,2025-09-17
55,24,Pune,2025-06-01
56,18,Mumbai,2026-03-19
57,13,Bangalore,2026-04-14
58,17,Hyderabad,2025-09-06
59,21,Pune,2025-05-11
60,21,Bangalore,2026-04-09
61,23,Pune,2026-04-02
62,24,Mumbai,2025-09-18
63,20,Delhi,2025-06-29
64,16,Pune,2025-10-25
65,23,Bangalore,2026-02-25
66,24,Delhi,2025-06-12
67,21,Mumbai,2025-07-21
68,23,Hyderabad,2025-05-20
69,20,Mumbai,2025-05-24
70,19,Bangalore,2025-05-19
71,24,Bangalore,2025-11-29
72,17,Bangalore,2025-10-28
73,22,Hyderabad,2025-11-17
74,16,Mumbai,2025-10-16
75,23,Delhi,2025-12-29
76,17,Pune,2026-02-27
77,20,Pune,2025-05-24
78,17,Pune,2025-09-03
79,23,Mumbai,2026-02-28
80,15,Delhi,2025-07-26
81,13,Delhi,2025-09-30
82,18,Bangalore,2025-11-30
83,20,Mumbai,2025-07-25
84,15,Mumbai,2025-06-06
85,24,Hyderabad,2026-04-20
86,18,Delhi,2025-07-27
87,22,Hyderabad,2025-10-28
88,16,Bangalore,2025-07-21
89,23,Mumbai,2025-09-19
90,23,Mumbai,2025-10-18
91,17,Mumbai,2025-10-17
92,13,Hyderabad,2025-09-27
93,17,Pune,2025-09-21
94,24,Pune,2025-06-06
95,18,Bangalore,2025-08-13
96,18,Mumbai,2025-08-14
97,21,Bangalore,2025-07-12
98,19,Mumbai,2025-12-20
99,14,Bangalore,2025-06-30
100,19,Hyderabad,2026-02-10
101,19,Pune,2025-09-06
102,21,Bangalore,2026-04-21
103,14,Mumbai,2025-07-19
104,20,Delhi,2025-11-13
105,22,Mumbai,2025-12-23
106,17,Delhi,2025-07-09
107,19,Delhi,2025-06-28
108,20,Pune,2025-05-31
109,21,Delhi,2025-10-26
110,23,Bangalore,2025-07-15
111,20,Pune,2025-04-28
112,19,Delhi,2025-04-29
113,16,Delhi,2025-06-11
114,13,Delhi,2025-05-29
115,15,Delhi,2025-11-13
116,23,Delhi,2026-03-27
117,18,Pune,2025-08-11
118,23,Pune,2025-08-27
119,24,Pune,2026-04-01
120,19,Mumbai,2025-10-25
121,15,Bangalore,2025-07-27
122,13,Delhi,2025-05-03
123,18,Bangalore,2026-03-25
124,18,Pune,2025-07-30
125,22,Hyderabad,2025-06-27
126,20,Bangalore,2026-03-24
127,18,Hyderabad,2025-12-26
128,22,Pune,2026-04-17
129,16,Mumbai,2025-08-13
130,24,Bangalore,2026-03-21
131,18,Mumbai,2025-07-21
132,22,Pune,2025-10-01
133,24,Hyderabad,2025-08-22
134,18,Mumbai,2025-08-31
135,14,Mumbai,2026-04-12
136,14,Pune,2025-11-24
137,17,Pune,2026-02-23
138,17,Hyderabad,2025-09-20
139,23,Pune,2026-01-20
140,23,Hyderabad,2025-06-23
141,17,Delhi,2026-03-19
142,21,Hyderabad,2025-06-13
143,18,Hyderabad,2026-04-16
144,16,Delhi,2025-07-24
145,18,Hyderabad,2025-06-05
146,14,Mumbai,2025-05-09
147,20,Bangalore,2025-10-26
148,16,Mumbai,2026-02-22
149,21,Bangalore,2026-01-27
